game,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
1,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
2,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
3,vp-hybrid,B,2,1000,draw,-,703,0,0,0
4,vp-hybrid,B,2,1000,draw,-,811,0,0,0
5,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
6,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
7,vp-hybrid,B,2,1000,resigned,B,140,0,1,0
8,vp-hybrid,B,2,1000,resigned,B,82,0,1,0
9,vp-hybrid,B,2,1000,resigned,W,85,0,0,1
10,vp-hybrid,B,2,1000,resigned,W,139,0,0,1
11,vp-hybrid,B,2,1000,resigned,W,77,0,0,1
12,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
13,vp-hybrid,B,2,1000,resigned,B,198,0,1,0
14,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
15,vp-hybrid,B,2,1000,resigned,W,115,0,0,1
16,vp-hybrid,B,2,1000,resigned,B,96,0,1,0
17,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
18,vp-hybrid,B,2,1000,resigned,B,64,0,1,0
19,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
20,vp-hybrid,B,2,1000,draw,-,369,0,0,0
21,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
22,vp-hybrid,B,2,1000,resigned,B,152,0,1,0
23,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
24,vp-hybrid,B,2,1000,resigned,B,122,0,1,0
25,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
26,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
27,vp-hybrid,B,2,1000,resigned,B,88,0,1,0
28,vp-hybrid,B,2,1000,resigned,W,305,0,0,1
29,vp-hybrid,B,2,1000,resigned,B,118,0,1,0
30,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
31,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
32,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
33,vp-hybrid,B,2,1000,resigned,W,635,0,0,1
34,vp-hybrid,B,2,1000,resigned,B,172,0,1,0
35,vp-hybrid,B,2,1000,resigned,W,137,0,0,1
36,vp-hybrid,B,2,1000,resigned,B,96,0,1,0
37,vp-hybrid,B,2,1000,resigned,B,824,0,1,0
38,vp-hybrid,B,2,1000,draw,-,211,0,0,0
