game,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
1,vp-hybrid,B,2,1000,resigned,B,248,0,1,0
2,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
3,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
4,vp-hybrid,B,2,1000,resigned,B,96,0,1,0
5,vp-hybrid,B,2,1000,resigned,B,192,0,1,0
6,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
7,vp-hybrid,B,2,1000,resigned,W,155,0,0,1
8,vp-hybrid,B,2,1000,draw,-,157,0,0,0
9,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
10,vp-hybrid,B,2,1000,resigned,B,198,0,1,0
11,vp-hybrid,B,2,1000,resigned,B,876,0,1,0
12,vp-hybrid,B,2,1000,resigned,W,263,0,0,1
13,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
14,vp-hybrid,B,2,1000,resigned,B,64,0,1,0
15,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
16,vp-hybrid,B,2,1000,resigned,B,264,0,1,0
17,vp-hybrid,B,2,1000,resigned,W,115,0,0,1
18,vp-hybrid,B,2,1000,resigned,B,176,0,1,0
19,vp-hybrid,B,2,1000,resigned,W,53,0,0,1
20,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
21,vp-hybrid,B,2,1000,resigned,B,90,0,1,0
22,vp-hybrid,B,2,1000,resigned,W,341,0,0,1
23,vp-hybrid,B,2,1000,resigned,W,695,0,0,1
24,vp-hybrid,B,2,1000,draw,-,229,0,0,0
25,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
26,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
27,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
28,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
29,vp-hybrid,B,2,1000,resigned,B,316,0,1,0
30,vp-hybrid,B,2,1000,resigned,W,139,0,0,1
31,vp-hybrid,B,2,1000,resigned,B,286,0,1,0
32,vp-hybrid,B,2,1000,draw,-,373,0,0,0
33,vp-hybrid,B,2,1000,resigned,W,591,0,0,1
34,vp-hybrid,B,2,1000,resigned,B,190,0,1,0
35,vp-hybrid,B,2,1000,resigned,W,103,0,0,1
36,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
37,vp-hybrid,B,2,1000,resigned,W,237,0,0,1
38,vp-hybrid,B,2,1000,resigned,B,784,0,1,0
39,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
40,vp-hybrid,B,2,1000,resigned,B,616,0,1,0
41,vp-hybrid,B,2,1000,draw,-,995,0,0,0
42,vp-hybrid,B,2,1000,resigned,B,442,0,1,0
43,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
44,vp-hybrid,B,2,1000,resigned,W,105,0,0,1
45,vp-hybrid,B,2,1000,resigned,B,172,0,1,0
46,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
47,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
48,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
49,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
50,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
51,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
52,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
53,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
54,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
55,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
56,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
57,vp-hybrid,W,2,1000,resigned,W,91,0,1,0
58,vp-hybrid,W,2,1000,draw,-,914,0,0,0
59,vp-hybrid,W,2,1000,resigned,W,149,0,1,0
60,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
61,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
62,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
63,vp-hybrid,W,2,1000,resigned,W,61,0,1,0
64,vp-hybrid,W,2,1000,resigned,W,187,0,1,0
65,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
66,vp-hybrid,W,2,1000,resigned,W,651,0,1,0
67,vp-hybrid,W,2,1000,resigned,B,788,0,0,1
68,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
69,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
70,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
71,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
72,vp-hybrid,W,2,1000,resigned,B,92,0,0,1
73,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
74,vp-hybrid,W,2,1000,resigned,W,801,0,1,0
75,vp-hybrid,W,2,1000,resigned,W,907,0,1,0
76,vp-hybrid,W,2,1000,resigned,W,163,0,1,0
77,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
78,vp-hybrid,W,2,1000,resigned,W,219,0,1,0
79,vp-hybrid,W,2,1000,draw,-,422,0,0,0
80,vp-hybrid,W,2,1000,resigned,W,861,0,1,0
81,vp-hybrid,W,2,1000,draw,-,78,0,0,0
82,vp-hybrid,W,2,1000,draw,-,242,0,0,0
83,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
84,vp-hybrid,W,2,1000,resigned,W,629,0,1,0
85,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
86,vp-hybrid,W,2,1000,draw,-,86,0,0,0
87,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
88,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
89,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
90,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
91,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
92,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
93,vp-hybrid,W,2,1000,resigned,W,877,0,1,0
94,vp-hybrid,W,2,1000,resigned,W,101,0,1,0
95,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
96,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
97,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
98,vp-hybrid,W,2,1000,resigned,W,329,0,1,0
99,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
100,vp-hybrid,W,2,1000,resigned,W,363,0,1,0
